molecule_chembl_id,canonical_smiles,standard_value
CHEMBL282917,O=C(CBr)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],40000.0
CHEMBL18766,NCCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],220000.0
CHEMBL18920,CCNC(=O)NC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],130000.0
CHEMBL19325,Cc1c[n+](CC(N)=O)ccc1/C=C/c1cccc2ccccc12.[I-],45000.0
CHEMBL428683,CC(=O)C[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],31000.0
CHEMBL18432,Cc1c[n+](CCO)ccc1/C=C/c1cccc2ccccc12.[Cl-],27000.0
CHEMBL19537,CCC[n+]1ccc(/C=C/c2cccc3ccccc23)cc1.[Br-],17500.0
CHEMBL552981,C[N+]1=CC=NC1/C=C/c1cccc2ccccc12.[I-],51000.0
CHEMBL1255901,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,80.0
CHEMBL45154,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/CF,10000.0
CHEMBL161248,O=[N+]([O-])c1cccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)c1,700.0
CHEMBL159878,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,11.0
CHEMBL350644,CN(CCC1CCN(Cc2ccccc2)CC1)C(=S)NC(=O)c1ccccc1,350.0
CHEMBL161062,O=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,1100.0
CHEMBL160088,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1cccc(Oc2ccccc2)c1,100.0
CHEMBL347813,Fc1ccccc1/N=C(\S)NCCC1CCN(Cc2ccccc2)CC1,850.0
CHEMBL159800,COc1cccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)c1,700.0
CHEMBL159701,CCCN/C(=N\CCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,10000.0
CHEMBL159576,O=C(NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,15.0
CHEMBL159401,CC(=O)c1ccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)cc1,400.0
CHEMBL161003,CCN(CCC1CCN(Cc2ccccc2)CC1)/C(S)=N/Cc1ccccc1,260.0
CHEMBL159351,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)C(=O)c1ccccc1C2=O,2.0
CHEMBL161149,S=C(NCCC1CCN(Cc2ccccc2)CC1)NCc1ccccc1,6000.0
CHEMBL161179,COc1ccc(N/C(S)=N/CCC2CCN(CC3CCCCC3)CC2)cc1OC,820.0
CHEMBL161199,Cc1ccccc1/N=C(\S)NCCC1CCN(Cc2ccccc2)CC1,400.0
CHEMBL159474,COc1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1,10.0
CHEMBL161100,CS(=O)(=O)c1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1,6.0
CHEMBL160009,CN(/C(S)=N/CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,420.0
CHEMBL162747,N#Cc1cccc(NC(=S)NCCC2CCN(CC3CCCCC3)CC2)c1,2200.0
CHEMBL160095,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccn1,22.0
CHEMBL353129,COc1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1OC,5.0
CHEMBL158860,O=[N+]([O-])c1ccc(/N=C(\S)NCCC2CCN(Cc3ccccc3)CC2)nc1,2.6
CHEMBL159353,FC(F)(F)Oc1ccc(N/C(S)=N/CCC2CCN(CC3CCCCC3)CC2)cc1,2500.0
CHEMBL159702,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(=O)c2ccccc2)cc1,14.0
CHEMBL161274,CCN(CCC1CCN(Cc2ccccc2)CC1)C(=S)NC(=O)c1ccccc1,300.0
CHEMBL159813,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(F)(F)F)cc1,33.0
CHEMBL349043,Fc1c(F)c(F)c(/N=C(\S)NCCC2CCN(Cc3ccccc3)CC2)c(F)c1F,3000.0
CHEMBL159704,CC(=O)c1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1,7.5
CHEMBL159454,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccncc1,210.0
CHEMBL161795,O=C(NCCC1CCN(Cc2ccccc2)CC1)NCc1ccccc1,1400.0
CHEMBL351536,N=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,2500.0
CHEMBL423777,ON/C(=N\CCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,10000.0
CHEMBL158637,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1cccc([N+](=O)[O-])c1,1.5
CHEMBL349694,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)C(=O)c1ccccc1-2,80.0
CHEMBL161607,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1cccnc1,500.0
CHEMBL159634,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1[N+](=O)[O-],40.0
CHEMBL162750,O=[N+]([O-])/C=C(\NCCC1CCN(Cc2ccccc2)CC1)NCc1ccccc1,120.0
CHEMBL161139,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(Cl)cc1,20.0
CHEMBL161190,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,250.0
CHEMBL159553,CN(CCC1CCN(Cc2ccccc2)CC1)/C(S)=N/c1ccccc1,3000.0
CHEMBL161269,FC(F)(F)c1cccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)c1,210.0
CHEMBL161779,O=[N+]([O-])/C=C(\NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,80.0
CHEMBL160008,COc1ccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)cc1,150.0
CHEMBL159779,COc1ccc(N/C(S)=N/CCC2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)cc1OC,2100.0
CHEMBL440547,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(=O)c3ccccc3oc2c1,11.0
CHEMBL159333,O=C(O)C(=O)O.c1ccc(C2=NNC(NCCN3CCCCC3)=NC2)cc1,47000.0
CHEMBL557161,Cl.Nc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,270000.0
CHEMBL423639,c1ccc(-c2ncc(NCCN3CCCCC3)nn2)cc1,57000.0
CHEMBL542287,Cl.OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,440000.0
CHEMBL553467,Cl.FC(F)(F)c1cc(-c2ccccc2)nnc1NCCN1CCOCC1,740000.0
CHEMBL536467,Cc1cc(-c2ccc3c(c2)OCO3)nnc1NCCN1CCCCC1.Cl,1000.0
CHEMBL538556,Cc1cc(-c2ccccc2)nnc1NCCN1CCCCC1.Cl,5400.0
CHEMBL542771,Cl.N#Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,100000.0
CHEMBL544887,Cl.c1ccc(-c2ccc(NCCN3CCOCC3)nn2)cc1,1000000.0
CHEMBL351412,O=C(O)C(=O)O.c1ccc(-c2cnc(NCCN3CCCCC3)nn2)cc1,60000.0
CHEMBL538098,Cl.c1ccc(-c2ccc(NCCN3CCCCC3)nn2)cc1,13000.0
CHEMBL540602,Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCOCC1.Cl,34000.0
CHEMBL351647,c1ccc(-c2ccc(NCCN3CCCCC3)nc2)cc1,70000.0
CHEMBL536932,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl,85000.0
CHEMBL163508,Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCCCC1.O=C(O)C(=O)O,1300.0
CHEMBL349073,c1ccc(-c2nnc(NCCN3CCCCC3)s2)cc1,54000.0
CHEMBL541356,Cl.c1ccc(-c2cc(-c3ccccc3)c(NCCN3CCOCC3)nn2)cc1,260000.0
CHEMBL164797,c1ccc(-c2cnc(NCCN3CCCCC3)nc2)cc1,100000.0
CHEMBL541853,CN(C)CCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,47.0
CHEMBL542477,CN(C)CCCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,71.0
CHEMBL545539,Cl.c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,10.1
CHEMBL545774,Cl.NCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,131.0
CHEMBL540830,Cl.NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,319.0
CHEMBL544369,Cl.c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,38.7
CHEMBL542732,CN(C)CCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,52.0
CHEMBL544603,Cl.NCCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,180.0
CHEMBL544143,Cl.c1ccc2c(NCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,176.0
CHEMBL542236,Cl.c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,8.8
CHEMBL1677,Cl.Nc1c2c(nc3ccccc13)CCCC2,223.0
CHEMBL557225,Cc1cccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3.Cl,7.8
CHEMBL542482,Cl.c1ccc2c(NCCCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,261.0
CHEMBL284348,Nc1ccncc1,500000.0
CHEMBL543906,Cl.c1ccc2c(NCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,13.6
CHEMBL542234,Cl.c1ccc2c(NCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,12.8
